楼层,分区,活动,活动名称(参考),月份,计划量,完成量,活动开始,活动结束
B1,B1|A04,col,,Aug'26,4,,2026-07-30,2026-09-25
B1,B1|A04,col,,Sep'26,3,,2026-07-30,2026-09-25
B1,B1|A07,mbeam,,Aug'26,2,,2026-04-01,2026-06-08
B1,B1|A07,col,,Jul'26,4,,2026-06-09,2026-08-14
B1,B1|A07,mbeam,,Jul'26,1,,2026-04-01,2026-06-08
B1,B1|A07,col,,Jun'26,4,,2026-06-09,2026-08-14
B1,B1|B02,col,,Aug'26,4,,2026-07-01,2026-08-27
B1,B1|B02,col,,Jul'26,5,,2026-07-01,2026-08-27
B1,B1|B03,mbeam,,Aug'26,14,,2026-04-01,2026-06-04
B1,B1|B03,col,,Jul'26,6,,2026-06-05,2026-08-12
B1,B1|B03,mbeam,,Jul'26,10,,2026-04-01,2026-06-04
B1,B1|B03,col,,Jun'26,7,,2026-06-05,2026-08-12
B1,B1|B03,col,,May'26,1,,2026-06-05,2026-08-12
B1,B1|B03,act_corewall,,Sep'26,1,,2026-08-13,2026-10-07
B1,B1|D01,col,,Nov'26,8,,2026-10-16,2026-11-26
B1,B1|D01,col,,Oct'26,6,,2026-10-16,2026-11-26
B1,B1|D01,mbeam,,Oct'26,4,,2026-09-25,2026-10-15
B1,B1|D01,mbeam,,Sep'26,14,,2026-09-25,2026-10-15
B1,B1|D02,col,,Dec'26,8,,2026-11-19,2027-01-15
B1,B1|D02,col,,Jan'27,3,,2026-11-19,2027-01-15
B1,B1|D02,col,,Nov'26,3,,2026-11-19,2027-01-15
B1,B1|D02,mbeam,,Nov'26,7,,2026-10-21,2026-11-18
B1,B1|D02,mbeam,,Oct'26,4,,2026-10-21,2026-11-18
B1,B1|EB1S5,col,,Sep'26,6,,2026-09-01,2026-09-30
B1,B1|EB1S6,col,,Sep'26,6,,2026-09-01,2026-09-30
B1,B1|EB1S7,col,,Oct'26,3,,2026-10-01,2026-10-31
B1,B1|EB1S8,act_corewall,,Dec'26,1,,2026-12-01,2026-12-31
B1,B1|EB1S8,act_corewall,,Nov'26,1,,2026-11-01,2026-11-30
B1,B1|EB1S8,col,,Nov'26,6,,2026-09-18,2026-09-28
B1,B1|D01,col,Columns,,,,,
B1,B1|D01,pile,Pile Caps,,,,,
B1,B1|D01,mbeam,Steel Main Beams,,,,,
B1,B1|D01,cbeam,Cast S Main Beams,,,,,
B1,B1|D01,ls,Lift / Stairs,,,,,
B1,B1|D01,exc,Excavation,,,,,
B1,B1|D01,demo,Demolition,,,,,
B1,B1|D01,slab,Cast Slab,,,,,
B1,B1|D01,act_wall,Wall,,,,,
B1,B1|D01,act_corewall,Core Wall,,,,,
B1,B1|D01,act_colcorbel,Columns Corbel,,,,,
B1,B1|E011,col,Columns,,,,,
B1,B1|E011,pile,Pile Caps,,,,,
B1,B1|E011,mbeam,Steel Main Beams,,,,,
B1,B1|E011,cbeam,Cast S Main Beams,,,,,
B1,B1|E011,ls,Lift / Stairs,,,,,
B1,B1|E011,exc,Excavation,,,,,
B1,B1|E011,demo,Demolition,,,,,
B1,B1|E011,slab,Cast Slab,,,,,
B1,B1|E011,act_wall,Wall,,,,,
B1,B1|E011,act_corewall,Core Wall,,,,,
B1,B1|E011,act_colcorbel,Columns Corbel,,,,,
B1,B1|E012,col,Columns,,,,,
B1,B1|E012,pile,Pile Caps,,,,,
B1,B1|E012,mbeam,Steel Main Beams,,,,,
B1,B1|E012,cbeam,Cast S Main Beams,,,,,
B1,B1|E012,ls,Lift / Stairs,,,,,
B1,B1|E012,exc,Excavation,,,,,
B1,B1|E012,demo,Demolition,,,,,
B1,B1|E012,slab,Cast Slab,,,,,
B1,B1|E012,act_wall,Wall,,,,,
B1,B1|E012,act_corewall,Core Wall,,,,,
B1,B1|E012,act_colcorbel,Columns Corbel,,,,,
B1,B1|F011,col,Columns,,,,,
B1,B1|F011,pile,Pile Caps,,,,,
B1,B1|F011,mbeam,Steel Main Beams,,,,,
B1,B1|F011,cbeam,Cast S Main Beams,,,,,
B1,B1|F011,ls,Lift / Stairs,,,,,
B1,B1|F011,exc,Excavation,,,,,
B1,B1|F011,demo,Demolition,,,,,
B1,B1|F011,slab,Cast Slab,,,,,
B1,B1|F011,act_wall,Wall,,,,,
B1,B1|F011,act_corewall,Core Wall,,,,,
B1,B1|F011,act_colcorbel,Columns Corbel,,,,,
B1,B1|D02,col,Columns,,,,,
B1,B1|D02,pile,Pile Caps,,,,,
B1,B1|D02,mbeam,Steel Main Beams,,,,,
B1,B1|D02,cbeam,Cast S Main Beams,,,,,
B1,B1|D02,ls,Lift / Stairs,,,,,
B1,B1|D02,exc,Excavation,,,,,
B1,B1|D02,demo,Demolition,,,,,
B1,B1|D02,slab,Cast Slab,,,,,
B1,B1|D02,act_wall,Wall,,,,,
B1,B1|D02,act_corewall,Core Wall,,,,,
B1,B1|D02,act_colcorbel,Columns Corbel,,,,,
B1,B1|F022,col,Columns,,,,,
B1,B1|F022,pile,Pile Caps,,,,,
B1,B1|F022,mbeam,Steel Main Beams,,,,,
B1,B1|F022,cbeam,Cast S Main Beams,,,,,
B1,B1|F022,ls,Lift / Stairs,,,,,
B1,B1|F022,exc,Excavation,,,,,
B1,B1|F022,demo,Demolition,,,,,
B1,B1|F022,slab,Cast Slab,,,,,
B1,B1|F022,act_wall,Wall,,,,,
B1,B1|F022,act_corewall,Core Wall,,,,,
B1,B1|F022,act_colcorbel,Columns Corbel,,,,,
B1,B1|F012,col,Columns,,,,,
B1,B1|F012,pile,Pile Caps,,,,,
B1,B1|F012,mbeam,Steel Main Beams,,,,,
B1,B1|F012,cbeam,Cast S Main Beams,,,,,
B1,B1|F012,ls,Lift / Stairs,,,,,
B1,B1|F012,exc,Excavation,,,,,
B1,B1|F012,demo,Demolition,,,,,
B1,B1|F012,slab,Cast Slab,,,,,
B1,B1|F012,act_wall,Wall,,,,,
B1,B1|F012,act_corewall,Core Wall,,,,,
B1,B1|F012,act_colcorbel,Columns Corbel,,,,,
B1,B1|C021,col,Columns,,,,,
B1,B1|C021,pile,Pile Caps,,,,,
B1,B1|C021,mbeam,Steel Main Beams,,,,,
B1,B1|C021,cbeam,Cast S Main Beams,,,,,
B1,B1|C021,ls,Lift / Stairs,,,,,
B1,B1|C021,exc,Excavation,,,,,
B1,B1|C021,demo,Demolition,,,,,
B1,B1|C021,slab,Cast Slab,,,,,
B1,B1|C021,act_wall,Wall,,,,,
B1,B1|C021,act_corewall,Core Wall,,,,,
B1,B1|C021,act_colcorbel,Columns Corbel,,,,,
B1,B1|F021,col,Columns,,,,,
B1,B1|F021,pile,Pile Caps,,,,,
B1,B1|F021,mbeam,Steel Main Beams,,,,,
B1,B1|F021,cbeam,Cast S Main Beams,,,,,
B1,B1|F021,ls,Lift / Stairs,,,,,
B1,B1|F021,exc,Excavation,,,,,
B1,B1|F021,demo,Demolition,,,,,
B1,B1|F021,slab,Cast Slab,,,,,
B1,B1|F021,act_wall,Wall,,,,,
B1,B1|F021,act_corewall,Core Wall,,,,,
B1,B1|F021,act_colcorbel,Columns Corbel,,,,,
B1,B1|C022,col,Columns,,,,,
B1,B1|C022,pile,Pile Caps,,,,,
B1,B1|C022,mbeam,Steel Main Beams,,,,,
B1,B1|C022,cbeam,Cast S Main Beams,,,,,
B1,B1|C022,ls,Lift / Stairs,,,,,
B1,B1|C022,exc,Excavation,,,,,
B1,B1|C022,demo,Demolition,,,,,
B1,B1|C022,slab,Cast Slab,,,,,
B1,B1|C022,act_wall,Wall,,,,,
B1,B1|C022,act_corewall,Core Wall,,,,,
B1,B1|C022,act_colcorbel,Columns Corbel,,,,,
B1,B1|A04,col,Columns,,,,,
B1,B1|A04,pile,Pile Caps,,,,,
B1,B1|A04,mbeam,Steel Main Beams,,,,,
B1,B1|A04,cbeam,Cast S Main Beams,,,,,
B1,B1|A04,ls,Lift / Stairs,,,,,
